=============training from sratch============
Program ID: 25973

Program command: 
 ['TrainSegV3d_ROI.py', '/home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI', '1', '/home/hxie1/data/OvarianCancerCT/primaryROISmall/nrrd_npy', '/home/hxie1/data/OvarianCancerCT/primaryROISmall/labels_npy', '1', '3,2,1']

Major program changes: 
      1  3D V model for primary cancer ROI;
      2  Uniform ROI size: 51*171*171 in z,y,x directon;
      3  Total 36 patient data, in which training data 24 patients, validation 6 patients, and test 6 patients;
      4  all 36 patients data have 50-80% 3D label;
      5  Dice coefficient is 3D dice coefficient against corresponding 3D ground truth;
      6  training data augmentation in the fly: affine in XY plane, translation in Z direction;
      7  In the bottle neck of V model, the latent vector has size of 512*2*9*9;
      Sep 16th, 2019:
      1   add dynamic loss weight according trainin  data;
      2   refine learning rate decay.
      Sep 21st, 2019
      1   add improved Boundary Loss2, and inherit the previous learningrate of network of pure CELoss;
      Sep 23rd, 2019:
      1   improve mean of boundary loss limited on the A,B regions;
      2   use log(segProb) instead of segProb in the boudary loss;
      3   CrossEntropy weight reduces 0.01 per 5 epochs from 1 to 0.01, while boundary Loss weight increase 0.01 per 5 epochs from 0.01 to 1. 
      Sep 24th, 2019
      1   Use boundaryLoss1, which is considering the whole volume. 
      Sep 25th, 2019
      1   use boundaryLoss3, which is a stronger gradient signal to improve loss.
      2   unbalanced weight for class is applied on logP,and just use boundaryLoss3 with CELoss.
      3   use CELoss and boundaryLoss together.
      4   Use truncated DistanceCrossEntropy Loss alone;
      5   change LRScheduler into reduce into Plateau with initial LR=0.1
      Sep 26th, 2019
      1   Add one layer in the bottom of V model;
      2   Add residual connnection in each layer;
      Sep 30th, 2019
      1   With size-reduced ROI of size 51*149*149;
      2   reduce the translation of data augmentation;
      3   reduce all data into 35 patients, excluding a very blur patient.
      
         

Discarded changes:                  

Experiment setting:
Input CT data: 51*171*171 ROI around primary cancer

Loss Function:  SoftMax

Data:   total 36 patients with 50-80% label, 6-fold cross validation, test 6, validation 6, and training 24.  
    script: python3.7 statisticsLabelFiles.py 
    Total 36 in /home/hxie1/data/OvarianCancerCT/primaryROI/labels_npy
    0 has 48159408 elements, with a rate of  0.8970491562903105 
    1 has 5527068 elements, with a rate of  0.10295084370968957

Training strategy: 

          

Program starting Time: 2019-09-30 20:31:24.629647
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI/20190930_203124

Info: this is the 1th fold leave for test in the 6-fold cross-validation.

Info: batchSize = 6

Net parameters is saved in  /home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI/20190930_203124.
6-fold cross validation: the 1th fold is for test, the 2th fold is for validation, remaining folds are for training.

training dataset: total 23 image files.

validation dataset: total 6 image files.

test dataset: total 6 image files.
Total 23 training files  extracted from /home/hxie1/data/OvarianCancerCT/primaryROISmall/labels_npy
0 has 20385727 elements, with a rate of  0.7828087204354327 
1 has 5656046 elements, with a rate of  0.21719127956456727 
loss weight = tensor([1.0000, 3.6042])
Network has total 73,047,746 parameters.


************** Table of Training Log **************
Epoch	LearningRate		TrainingLoss	Dice		ValidationLoss	Dice		TestLoss	Dice
0	1.0000e-02		19.9204		0.30710		8797.7002		0.00000		5531.5332		0.00004
5	1.0000e-02		6.8691		0.62075		5.6745		0.66818		6.1646		0.70348
10	1.0000e-02		5.4454		0.68815		9.3471		0.58758		7.3265		0.66362
15	1.0000e-02		5.1002		0.67741		6.1269		0.71021		4.9893		0.75972
20	1.0000e-02		5.2832		0.68315		5.3508		0.66502		4.0604		0.75980
25	1.0000e-02		5.1433		0.67624		4.2252		0.72091		3.8319		0.80197
30	1.0000e-02		4.8771		0.69957		4.1447		0.73503		4.3729		0.80497
35	1.0000e-02		5.1422		0.68201		5.4825		0.68101		5.7998		0.73449
40	1.0000e-02		5.3483		0.66920		4.9511		0.67340		4.0657		0.76417
45	1.0000e-02		5.6696		0.65795		4.0566		0.71333		3.8716		0.77743
50	1.0000e-02		5.4370		0.68807		4.9014		0.72655		5.8711		0.75372
55	1.0000e-02		5.4176		0.71450		4.0995		0.73532		4.1716		0.79491
60	1.0000e-02		5.7257		0.66053		5.1729		0.67393		3.7508		0.77451
65	1.0000e-02		4.8208		0.71404		3.7454		0.75365		4.5546		0.78721
70	1.0000e-02		4.2351		0.72243		4.6112		0.73317		6.7315		0.71479
75	1.0000e-02		4.2478		0.73216		4.9377		0.69677		3.5328		0.78652
80	1.0000e-02		5.8078		0.71758		4.0930		0.71639		4.3112		0.76403
85	1.0000e-02		7.5393		0.69325		5.5247		0.70158		6.0603		0.74988
90	1.0000e-02		4.6561		0.66886		6.3695		0.61358		4.1561		0.74891
95	1.0000e-02		5.8581		0.69169		5.6577		0.66304		4.0406		0.75746
100	1.0000e-02		4.2526		0.73278		3.2893		0.78028		3.7833		0.82225
105	1.0000e-02		3.6138		0.75770		3.8383		0.74115		3.5106		0.80876
110	1.0000e-02		3.3659		0.73760		3.0935		0.77748		3.1315		0.82358
115	1.0000e-02		4.0287		0.72747		3.6459		0.73941		3.5633		0.80045
120	1.0000e-02		4.0349		0.72292		3.8868		0.74202		3.9965		0.78303
125	1.0000e-02		4.2834		0.74094		4.6448		0.70466		5.0212		0.74904
130	1.0000e-02		4.5333		0.74558		4.5087		0.70733		3.6473		0.78324
135	1.0000e-02		3.7684		0.74381		3.0961		0.78223		3.8355		0.79806
140	1.0000e-02		2.9266		0.76014		2.5070		0.81624		3.6311		0.81054
145	1.0000e-02		3.3259		0.74999		3.9261		0.73262		4.4993		0.76973
150	1.0000e-02		3.3960		0.76076		3.8469		0.72312		3.7158		0.77481
155	1.0000e-02		3.3079		0.76455		2.5645		0.79510		3.4463		0.80847
160	1.0000e-02		3.2583		0.77600		2.9509		0.77694		3.6862		0.80545
165	1.0000e-02		3.0088		0.75061		3.3674		0.79641		4.1888		0.78358
170	1.0000e-02		3.3996		0.77112		2.6134		0.79786		2.9952		0.82177
175	1.0000e-02		3.6230		0.77052		2.8967		0.78743		3.7230		0.79722
180	1.0000e-02		4.1217		0.71465		3.9720		0.75162		3.9519		0.78566
185	1.0000e-02		4.2882		0.75457		2.8187		0.77420		3.5589		0.79264
190	1.0000e-02		4.5247		0.75759		2.6373		0.79355		3.4745		0.81045
195	1.0000e-03		3.2855		0.77769		3.6717		0.75671		4.0107		0.78604
200	1.0000e-03		3.0093		0.77738		2.7487		0.78438		3.6384		0.79977
205	1.0000e-03		2.3592		0.78817		2.8140		0.78288		3.6633		0.79857
210	1.0000e-03		2.5955		0.79053		2.7302		0.78889		3.5687		0.80455
215	1.0000e-03		2.4315		0.81510		2.4726		0.80339		3.6819		0.80901
220	1.0000e-03		2.2651		0.80839		2.5339		0.80348		3.6047		0.81005
225	1.0000e-03		2.6052		0.77644		2.5984		0.79709		3.9485		0.80039
