=============training from sratch============
Program ID: 23707

Program command: 
 ['TrainSegV3d_ROI.py', '/home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI', '1', '/home/hxie1/data/OvarianCancerCT/primaryROISmall/nrrd_npy', '/home/hxie1/data/OvarianCancerCT/primaryROISmall/labels_npy', '5', '3,2,1']

Major program changes: 
      1  3D V model for primary cancer ROI;
      2  Uniform ROI size: 51*171*171 in z,y,x directon;
      3  Total 36 patient data, in which training data 24 patients, validation 6 patients, and test 6 patients;
      4  all 36 patients data have 50-80% 3D label;
      5  Dice coefficient is 3D dice coefficient against corresponding 3D ground truth;
      6  training data augmentation in the fly: affine in XY plane, translation in Z direction;
      7  In the bottle neck of V model, the latent vector has size of 512*2*9*9;
      Sep 16th, 2019:
      1   add dynamic loss weight according trainin  data;
      2   refine learning rate decay.
      Sep 21st, 2019
      1   add improved Boundary Loss2, and inherit the previous learningrate of network of pure CELoss;
      Sep 23rd, 2019:
      1   improve mean of boundary loss limited on the A,B regions;
      2   use log(segProb) instead of segProb in the boudary loss;
      3   CrossEntropy weight reduces 0.01 per 5 epochs from 1 to 0.01, while boundary Loss weight increase 0.01 per 5 epochs from 0.01 to 1. 
      Sep 24th, 2019
      1   Use boundaryLoss1, which is considering the whole volume. 
      Sep 25th, 2019
      1   use boundaryLoss3, which is a stronger gradient signal to improve loss.
      2   unbalanced weight for class is applied on logP,and just use boundaryLoss3 with CELoss.
      3   use CELoss and boundaryLoss together.
      4   Use truncated DistanceCrossEntropy Loss alone;
      5   change LRScheduler into reduce into Plateau with initial LR=0.1
      Sep 26th, 2019
      1   Add one layer in the bottom of V model;
      2   Add residual connnection in each layer;
      Sep 30th, 2019
      1   With size-reduced ROI of size 51*149*149;
      2   reduce the translation of data augmentation;
      3   reduce all data into 35 patients, excluding a very blur patient.
      
         

Discarded changes:                  

Experiment setting:
Input CT data: 51*171*171 ROI around primary cancer

Loss Function:  SoftMax

Data:   total 36 patients with 50-80% label, 6-fold cross validation, test 6, validation 6, and training 24.  
    script: python3.7 statisticsLabelFiles.py 
    Total 36 in /home/hxie1/data/OvarianCancerCT/primaryROI/labels_npy
    0 has 48159408 elements, with a rate of  0.8970491562903105 
    1 has 5527068 elements, with a rate of  0.10295084370968957

Training strategy: 

          

Program starting Time: 2019-10-02 16:59:40.619402
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI/20191002_165940

Info: this is the 5th fold leave for test in the 6-fold cross-validation.

Info: batchSize = 6

Net parameters is saved in  /home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI/20191002_165940.
6-fold cross validation: the 5th fold is for test, the 0th fold is for validation, remaining folds are for training.

training dataset: total 24 image files.

validation dataset: total 6 image files.

test dataset: total 5 image files.
Total 24 training files  extracted from /home/hxie1/data/OvarianCancerCT/primaryROISmall/labels_npy
0 has 20941190 elements, with a rate of  0.7706326453527825 
1 has 6232834 elements, with a rate of  0.2293673546472175 
loss weight = tensor([1.0000, 3.3598])
Network has total 73,047,746 parameters.


************** Table of Training Log **************
Epoch	LearningRate		TrainingLoss	Dice		ValidationLoss	Dice		TestLoss	Dice
0	1.0000e-02		54.5810		0.21789		121.4843		0.00000		61.2853		0.00000
5	1.0000e-02		11.7277		0.47416		7.5845		0.61703		8.4460		0.53650
10	1.0000e-02		6.5192		0.61674		9.5908		0.61304		63.7044		0.38734
15	1.0000e-02		6.3995		0.70516		6.2686		0.68580		8.1977		0.59710
20	1.0000e-02		6.1924		0.68776		4.6666		0.70892		5.8349		0.63014
25	1.0000e-02		5.0323		0.73484		4.8847		0.71463		4.9898		0.66514
30	1.0000e-02		4.7092		0.67696		5.0563		0.70521		5.2253		0.66651
35	1.0000e-02		4.9579		0.73818		4.6137		0.72926		4.8421		0.64950
40	1.0000e-02		3.8697		0.74208		5.1206		0.68112		5.4175		0.62326
45	1.0000e-02		4.3948		0.73691		4.7533		0.69985		5.3162		0.65147
50	1.0000e-02		4.3541		0.74116		4.5406		0.70595		5.4755		0.65328
55	1.0000e-02		4.2553		0.75043		5.5189		0.69055		5.2162		0.65832
60	1.0000e-02		4.3729		0.74526		4.8371		0.68136		5.0708		0.64776
65	1.0000e-02		3.5107		0.75675		5.4506		0.68061		5.2376		0.66781
70	1.0000e-02		4.0125		0.77554		5.1834		0.68277		4.8399		0.65337
75	1.0000e-02		3.6656		0.75127		4.5460		0.71572		6.0104		0.63629
80	1.0000e-02		3.3225		0.77466		5.0842		0.70476		4.1692		0.69204
85	1.0000e-02		3.2544		0.78186		4.3646		0.72259		4.3394		0.69681
90	1.0000e-02		3.3910		0.77734		5.2779		0.67200		4.9079		0.65566
95	1.0000e-02		3.7644		0.75215		6.1824		0.62935		5.3776		0.61654
100	1.0000e-02		2.6945		0.79049		5.1325		0.69881		4.8875		0.69455
105	1.0000e-02		2.9967		0.78443		5.0050		0.68947		4.5314		0.68615
110	1.0000e-02		3.6705		0.77716		4.1593		0.73646		4.4654		0.69613
115	1.0000e-02		3.2945		0.76659		4.8463		0.70735		4.8897		0.65669
120	1.0000e-02		3.7336		0.79150		5.3752		0.68213		4.9285		0.65818
125	1.0000e-02		3.0678		0.77486		5.1316		0.70954		3.7050		0.70656
130	1.0000e-02		2.6875		0.80932		4.9948		0.69006		3.8884		0.71174
135	1.0000e-02		3.4433		0.76027		4.7013		0.71033		6.3000		0.61310
140	1.0000e-02		2.5999		0.80360		4.2951		0.73105		4.0741		0.70004
145	1.0000e-02		3.6796		0.78109		4.5573		0.71416		5.2915		0.65845
150	1.0000e-02		2.8684		0.80167		5.1996		0.69908		4.6131		0.67748
155	1.0000e-02		3.4005		0.78918		4.7369		0.71474		5.8356		0.65603
160	1.0000e-02		2.4412		0.81077		5.2924		0.70898		7.9954		0.64623
165	1.0000e-03		3.2349		0.76920		4.3353		0.74129		4.2749		0.67911
170	1.0000e-03		2.6393		0.80694		4.2179		0.73599		4.3925		0.66940
175	1.0000e-03		2.5065		0.79833		4.3157		0.73329		4.3201		0.68337
180	1.0000e-03		2.7372		0.79938		4.4838		0.73173		4.3935		0.69276
185	1.0000e-03		2.2586		0.81538		4.4716		0.73011		4.2829		0.69802
190	1.0000e-03		2.4150		0.82306		4.4184		0.73099		4.5581		0.68855
