=============training from sratch============
Program ID: 17651

Program command: 
 ['TrainResAttentionNet.py', '/home/hxie1/temp_netParameters/OvarianCancer/ResNeXtAtten', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/images_npy', '/home/hxie1/data/OvarianCancerCT/patientResponseDict.json', '3', '1']

Major program changes: 
            ResNeXt-based Attention Net: use 2D network to implement 3D convolution without losing 3D context information. 
            0   the input is a 3D full volume without any cropping; 
            1   Use slices as features channels in convolutions,  and use 1*1 convolution along slices direction to implement z direction convolution followed by 3*3 convolutino inside slice planes;
                It just uses three cascading 2D convolutions (first z, then xy, and z direction again) to implement 3D convolution, like in the paper of ResNeXt below.
                The benefits of this design:
                A   reduce network parameters, hoping to reducing overfitting;
                B   speed up training;
                C   this implemented 3D convolutions are all in full slices space;
            2   use group convolution to implement thick slice convolution to increase the network representation capability;
            3   Use ResNeXt-based module like Paper "Aggregated Residual Transformations for Deep Neural Networks " 
                (Link: http://openaccess.thecvf.com/content_cvpr_2017/html/Xie_Aggregated_Residual_Transformations_CVPR_2017_paper.html);
            4   use rich 2D affine transforms slice by slice and concatenate them to implement 3D data augmentation;
            5   20% data for independent test, remaining 80% data for 4-fold cross validation;
            6   add lossweight to adjust positive samples to 3/7 posweight in BCEWithLogitsLoss;
            
            Update:
            1    reduced network parameters to 3.14 million in July 27th, 2019, 0840am
            2    at 15:00 of July 27th, 2019, reduce network parameter again. Now each stage has 160 filters, with 1.235 million parameters
            3    keep 2) parameter, change all maxpooling into average pooling.
            4    At July 29th 09:37am, 2019, reduce filters to 96 to further reduce parameters, keep avgPool.
            5    at July 29th 11:25am, 2019,  reduce filter number to 48, and redue one stage
            6    at July 29th 12:41, 2019:
                    add GPUID in command line;
                    use SGD optimizer, instead of Adam
                    add numbers of filters along deeper layer with step 12.
                    add saveDir's tims stamp;
            7    at July 29th 15:18, 2019,
                    change learning rate step_size = 5 from 10;
                    before FC, we use conv2d
                    learning rate start at 0.5.
            8    at July 30th 03:00, 2019:
                    add learning rate print;
                    use convStride =2;
                    add filter number by 2 times along deeper layers.
            9    at July 30th, 10:13, 2019:
                    add MaxPool2d in stage1;
                    add final filters to 2048.
            10   at July 30th, 15:23, 2019
                    final conv layer filter number: 1024
                                                 
                    
            
            
Discarded changes:                  
                  

Experiment setting:
Input CT data: maximum size 140*251*251 (zyx) of 3D numpy array with spacing size(5*2*2)
Ground truth: response binary label

Predictive Model: 

response Loss Function:  BCELogitLoss

Data:   training data has 169 patients 

Training strategy: 

          

Program starting Time: 2019-07-31 03:50:57.207372
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/ResNeXtAtten/20190731_035057

Info: this is the 3th fold leave for test in the 4-fold cross-validation, with 20.0% of data for independent test.

Infor: In all data of 169 files, label 0 has 51 files,
	  and label 1 has 118 files, where positive response rate = 0.6982248520710059 in full data
Infor: the independent test set has 34 files,and Training including validation Set has 135 files which will be divided into 4 folds.
In the independent test set of 34 files, 0 has 10, 1 has 24, the rate of 1s is 0.7058823529411765
In this test_3 dataset, total 34 files, where 1 has 24 with rate of 0.7058823529411765
In this train_3 dataset, total 102 files, where 1 has 71 with rate of 0.696078431372549
In this validation_3 dataset, total 33 files, where 1 has 23 with rate of 0.696969696969697
=== Network trains from scratch ====
Network has total 90,343,924 parameters.
Loss Functions List: BCEWithLogitsLoss with weight of 1; 

Hints: Optimal_Result = Yes = 1,  Optimal_Result = No = 0 

Epoch	LearningRate		TrLoss	Accura	TPR_r	TNR_r		VaLoss	Accura	TPR_r	TNR_r		TeLoss	Accura	TPR_r	TNR_r
0	1.0000e-02		0.8597	0.5784	0.6197	0.4839		0.4198	0.3030	0.0000	1.0000		0.4202	0.2941	0.0000	1.0000
5	1.0000e-02		2.4743	0.4510	0.4366	0.4839		11.1789	0.4545	0.3913	0.6000		10.1772	0.2353	0.1667	0.4000
10	9.5000e-03		1.8559	0.5588	0.5070	0.6774		8.2712	0.3333	0.2174	0.6000		4.8940	0.2941	0.2083	0.5000
15	9.5000e-03		0.8943	0.5098	0.4648	0.6129		6.6969	0.3333	0.2174	0.6000		3.3750	0.3529	0.2083	0.7000
20	9.0250e-03		0.7634	0.3333	0.2535	0.5161		2.4356	0.6667	0.9565	0.0000		9.6881	0.7353	1.0000	0.1000
25	9.0250e-03		0.5904	0.3039	0.0986	0.7742		0.4911	0.1818	0.0435	0.5000		0.3885	0.2941	0.0417	0.9000
30	8.5737e-03		0.4993	0.6275	0.8873	0.0323		0.4266	0.5758	0.5652	0.6000		0.3932	0.6471	0.6667	0.6000
35	8.5737e-03		0.4756	0.3529	0.0845	0.9677		0.6417	0.3333	0.2609	0.5000		0.6758	0.3235	0.2083	0.6000
40	8.1451e-03		0.4626	0.4020	0.2817	0.6774		0.4491	0.2424	0.0435	0.7000		0.3883	0.3529	0.0833	1.0000
45	8.1451e-03		0.4238	0.3529	0.1268	0.8710		0.4321	0.2727	0.2174	0.4000		0.4078	0.4118	0.2917	0.7000
50	7.7378e-03		0.4418	0.6863	0.9437	0.0968		0.3954	0.6970	0.8261	0.4000		0.3798	0.7353	0.8750	0.4000
55	7.7378e-03		0.4229	0.3235	0.1831	0.6452		0.4394	0.2727	0.1304	0.6000		0.4023	0.2941	0.0833	0.8000
60	7.3509e-03		0.4188	0.3922	0.1549	0.9355		0.3887	0.3030	0.0435	0.9000		0.4085	0.3529	0.0833	1.0000
65	7.3509e-03		0.4191	0.4118	0.4366	0.3548		0.4530	0.3030	0.2609	0.4000		0.4311	0.3824	0.2917	0.6000
70	6.9834e-03		0.4141	0.3725	0.0986	1.0000		0.4134	0.3333	0.1739	0.7000		0.3749	0.4412	0.2083	1.0000
75	6.9834e-03		0.4367	0.6275	0.8592	0.0968		0.3985	0.6364	0.7826	0.3000		0.3983	0.7059	0.8333	0.4000
80	6.6342e-03		0.4293	0.4020	0.3521	0.5161		0.4099	0.3636	0.1304	0.9000		0.3657	0.4118	0.1667	1.0000
85	6.6342e-03		0.4244	0.6471	0.9014	0.0645		0.4117	0.6970	0.9130	0.2000		0.4156	0.6471	0.9167	0.0000
90	6.3025e-03		0.4204	0.3824	0.1690	0.8710		0.4483	0.3030	0.2609	0.4000		0.4138	0.4118	0.2917	0.7000
95	6.3025e-03		0.4114	0.4020	0.1549	0.9677		0.3944	0.6667	0.7826	0.4000		0.3936	0.7059	0.8333	0.4000
100	5.9874e-03		0.4192	0.4118	0.2254	0.8387		0.4614	0.2424	0.1739	0.4000		0.3957	0.4412	0.2500	0.9000
105	5.9874e-03		0.4242	0.6078	0.8310	0.0968		0.3990	0.6970	0.8696	0.3000		0.4007	0.7353	0.9167	0.3000
110	5.6880e-03		0.4179	0.3529	0.0986	0.9355		0.4064	0.2727	0.0000	0.9000		0.4011	0.2941	0.0000	1.0000
115	5.6880e-03		0.4432	0.3333	0.2254	0.5806		0.4091	0.2727	0.1304	0.6000		0.3794	0.4412	0.2500	0.9000
120	5.4036e-03		0.4234	0.3627	0.1549	0.8387		0.4220	0.3030	0.0870	0.8000		0.4053	0.3824	0.1250	1.0000
