Program ID: 13195

Program command: 
 ['TrainResAttentionNet.py', '/home/hxie1/temp_netParameters/OvarianCancer/ResNeXtAtten', '/home/hxie1/data/OvarianCancerCT/Extract_ps2_2_5/images_npy', '/home/hxie1/data/OvarianCancerCT/patientResponseDict.json', '0']

Major program changes: 
            ResNeXt-based Attention Net: use 2D network to implement 3D convolution without losing 3D context information. 
            0   the input is a 3D full volume without any cropping; 
            1   Use slices as features channels in convolutions,  and use 1*1 convolution along slices direction to implement z direction convolution followed by 3*3 convolutino inside slice planes;
                It just uses three cascading 2D convolutions (first z, then xy, and z direction again) to implement 3D convolution, like in the paper of ResNeXt below.
                The benefits of this design:
                A   reduce network parameters, hoping to reducing overfitting;
                B   speed up training;
                C   this implemented 3D convolutions are all in full slices space;
            2   use group convolution to implement thick slice convolution to increase the network representation capability;
            3   Use ResNeXt-based module like Paper "Aggregated Residual Transformations for Deep Neural Networks " 
                (Link: http://openaccess.thecvf.com/content_cvpr_2017/html/Xie_Aggregated_Residual_Transformations_CVPR_2017_paper.html);
            4   use rich 2D affine transforms slice by slice and concatenate them to implement 3D data augmentation;
            5   20% data for independent test, remaining 80% data for 4-fold cross validation;
            6   add lossweight to adjust positive samples to 3/7 posweight in BCEWithLogitsLoss;
            
            Update:
            1    reduced network parameters to 3.14 million in July 27th, 2019, 0840am
            2    at 15:00 of July 27th, 2019, reduce network parameter again. Now each stage has 160 filters, with 1.235 million parameters
            3    keep 2) parameter, change all maxpooling into average pooling.
            4    At July 29th 09:37am, 2019, reduce filters to 96 to further reduce parameters, keep avgPool.
            5    at July 29th 11:25am, 2019,  reduce filter number to 48, and redue one stage
            
            
Discarded changes:                  
                  

Experiment setting:
Input CT data: maximum size 140*251*251 (zyx) of 3D numpy array with spacing size(5*2*2)
Ground truth: response binary label

Predictive Model: 

response Loss Function:  BCELogitLoss

Data:   training data has 169 patients 

Training strategy: 

          

Program starting Time: 2019-07-29 11:34:01.024309
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/ResNeXtAtten

Info: this is the 0th fold leave for test in the 4-fold cross-validation, with 20.0% of data for independent test.

Infor: In all data of 169 files, label 0 has 51 files,
	  and label 1 has 118 files, where positive response rate = 0.6982248520710059 in full data
Infor: the independent test set has 34 files,and Training including validation Set has 135 files which will be divided into 4 folds.
In the independent test set of 34 files, 0 has 10, 1 has 24, the rate of 1s is 0.7058823529411765
In this test_0 dataset, total 34 files, where 1 has 24 with rate of 0.7058823529411765
In this train_0 dataset, total 100 files, where 1 has 70 with rate of 0.7
In this validation_0 dataset, total 35 files, where 1 has 24 with rate of 0.6857142857142857
=== Network trains from scratch ====
Network has total 155,268 parameters.
Info: program will use 2 GPUs.
Loss Functions List: BCEWithLogitsLoss with weight of 1; 

Hints: Optimal_Result = Yes = 1,  Optimal_Result = No = 0 

Epoch	TrLoss	Accura	TPR_r	TNR_r		VaLoss	Accura	TPR_r	TNR_r		TeLoss	Accura	TPR_r	TNR_r
135	0.1443	0.9600	0.9714	0.9333		1.1781	0.6857	0.7917	0.4545		0.9900	0.6765	0.7500	0.5000
140	0.1269	0.9600	0.9714	0.9333		1.1934	0.6857	0.8333	0.3636		1.0067	0.6471	0.7500	0.4000
145	0.1353	0.9700	0.9857	0.9333		1.1105	0.6571	0.7500	0.4545		0.9505	0.6471	0.7500	0.4000
150	0.0927	0.9800	0.9857	0.9667		1.1228	0.7143	0.8333	0.4545		0.9431	0.6471	0.7500	0.4000
155	0.1261	0.9400	0.9286	0.9667		1.1981	0.6286	0.7500	0.3636		0.9699	0.6471	0.7500	0.4000
160	0.0609	0.9800	0.9714	1.0000		1.1406	0.6000	0.6667	0.4545		0.9692	0.6176	0.7083	0.4000
165	0.0433	0.9900	0.9857	1.0000		1.1228	0.6000	0.6667	0.4545		0.9763	0.6176	0.7083	0.4000
170	0.1316	0.9500	0.9571	0.9333		1.1758	0.6571	0.7917	0.3636		1.0067	0.6471	0.7500	0.4000
175	0.0564	1.0000	1.0000	1.0000		1.1392	0.6000	0.6667	0.4545		1.0374	0.6176	0.7083	0.4000
180	0.0535	0.9800	0.9714	1.0000		1.1263	0.6286	0.7083	0.4545		1.0261	0.6471	0.7500	0.4000
185	0.1469	0.9400	0.9571	0.9000		1.2173	0.6000	0.6667	0.4545		1.0428	0.6471	0.7083	0.5000
190	0.0814	0.9800	0.9857	0.9667		1.1366	0.6571	0.7500	0.4545		0.9477	0.6471	0.7083	0.5000
195	0.0742	0.9400	0.9429	0.9333		1.1936	0.5714	0.6250	0.4545		1.0458	0.6176	0.6667	0.5000
200	0.0888	0.9600	0.9571	0.9667		1.1628	0.6857	0.7917	0.4545		0.9940	0.6471	0.7500	0.4000
205	0.0667	0.9700	0.9571	1.0000		1.1453	0.5714	0.6667	0.3636		1.0259	0.6176	0.6667	0.5000
210	0.1317	0.9600	0.9714	0.9333		1.2031	0.5714	0.6250	0.4545		1.0092	0.6471	0.6667	0.6000
215	0.0510	0.9900	1.0000	0.9667		1.1210	0.5714	0.6250	0.4545		0.9926	0.6176	0.6667	0.5000
220	0.0589	0.9700	0.9714	0.9667		1.1984	0.4857	0.5000	0.4545		1.0904	0.5588	0.5417	0.6000
225	0.1425	0.9200	0.9286	0.9000		1.2253	0.5714	0.6667	0.3636		1.0982	0.6471	0.7500	0.4000
230	0.0652	0.9800	0.9714	1.0000		1.1770	0.6000	0.6667	0.4545		1.0160	0.6176	0.6250	0.6000
235	0.0708	0.9600	0.9571	0.9667		1.1314	0.6000	0.6667	0.4545		0.9979	0.6765	0.7500	0.5000
240	0.0799	0.9500	0.9286	1.0000		1.1894	0.5714	0.6250	0.4545		1.0730	0.6471	0.7500	0.4000
245	0.1193	0.9600	0.9714	0.9333		1.1669	0.6286	0.7083	0.4545		1.0092	0.6471	0.7500	0.4000
250	0.0521	0.9800	0.9857	0.9667		1.1409	0.6000	0.6667	0.4545		1.0109	0.6176	0.7083	0.4000
255	0.1482	0.9800	1.0000	0.9333		1.1258	0.6286	0.7083	0.4545		0.9905	0.6765	0.7500	0.5000
260	0.1125	0.9700	0.9714	0.9667		1.1973	0.6000	0.6667	0.4545		1.0473	0.6765	0.7083	0.6000
265	0.0995	0.9500	0.9429	0.9667		1.2282	0.6857	0.8333	0.3636		0.9653	0.6471	0.7500	0.4000
270	0.1887	0.9400	0.9429	0.9333		1.2026	0.6571	0.7917	0.3636		0.9765	0.6471	0.7500	0.4000
275	0.0423	0.9900	0.9857	1.0000		1.1567	0.6286	0.7083	0.4545		0.9921	0.6471	0.7500	0.4000
280	0.0718	0.9600	0.9714	0.9333		1.1561	0.4857	0.5000	0.4545		1.0165	0.5882	0.5833	0.6000
285	0.0786	0.9500	0.9571	0.9333		1.2167	0.4857	0.5000	0.4545		1.0498	0.6176	0.6250	0.6000
290	0.0649	0.9700	0.9571	1.0000		1.2028	0.5429	0.5833	0.4545		1.0347	0.6176	0.5833	0.7000
295	0.0612	0.9800	0.9714	1.0000		1.2484	0.6286	0.7083	0.4545		1.0532	0.6176	0.7083	0.4000
300	0.0815	0.9500	0.9286	1.0000		1.1441	0.5143	0.5417	0.4545		1.0246	0.5588	0.5417	0.6000
305	0.0951	0.9700	0.9714	0.9667		1.1324	0.6000	0.6667	0.4545		0.9909	0.6765	0.7500	0.5000
310	0.0480	0.9900	0.9857	1.0000		1.1780	0.5429	0.5833	0.4545		0.9955	0.6176	0.6250	0.6000
315	0.0655	0.9600	0.9429	1.0000		1.1711	0.6000	0.6667	0.4545		1.0027	0.6765	0.7083	0.6000
320	0.0573	0.9900	0.9857	1.0000		1.1932	0.5714	0.6250	0.4545		1.0332	0.6176	0.6667	0.5000
325	0.1293	0.9500	0.9429	0.9667		1.1474	0.5714	0.6250	0.4545		1.0406	0.6471	0.7500	0.4000
330	0.1039	0.9800	0.9857	0.9667		1.1896	0.5143	0.5417	0.4545		1.0579	0.5294	0.5833	0.4000
335	0.0708	0.9600	0.9571	0.9667		1.1454	0.5714	0.6250	0.4545		1.0036	0.5882	0.6250	0.5000
340	0.1850	0.9500	0.9714	0.9000		1.2024	0.7143	0.8750	0.3636		1.0341	0.6471	0.7500	0.4000
345	0.0620	0.9600	0.9429	1.0000		1.2146	0.5143	0.5417	0.4545		1.0117	0.6471	0.7083	0.5000
350	0.0919	0.9700	0.9714	0.9667		1.1596	0.6571	0.7500	0.4545		1.0250	0.6471	0.7500	0.4000
355	0.1832	0.9400	0.9571	0.9000		1.1519	0.6286	0.7083	0.4545		0.9879	0.6765	0.7500	0.5000
360	0.0755	0.9400	0.9143	1.0000		1.0934	0.5714	0.6250	0.4545		0.9611	0.6176	0.6667	0.5000
365	0.1103	0.9700	0.9857	0.9333		1.2291	0.6857	0.8333	0.3636		1.0218	0.6471	0.7500	0.4000
370	0.0473	0.9800	0.9714	1.0000		1.2327	0.6286	0.7083	0.4545		1.0397	0.6471	0.7500	0.4000
