=============training from sratch============
Program ID: 548

Program command: 
 ['TrainSegV3d_ROI.py', '/home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI', '1', '/home/hxie1/data/OvarianCancerCT/primaryROI/nrrd_npy', '/home/hxie1/data/OvarianCancerCT/primaryROI/labels_npy', '5', '3,2,1']

Major program changes: 
      1  3D V model for primary cancer ROI;
      2  Uniform ROI size: 51*171*171 in z,y,x directon;
      3  Total 36 patient data, in which training data 24 patients, validation 6 patients, and test 6 patients;
      4  all 36 patients data have 50-80% 3D label;
      5  Dice coefficient is 3D dice coefficient against corresponding 3D ground truth;
      6  training data augmentation in the fly: affine in XY plane, translation in Z direction;
      7  In the bottle neck of V model, the latent vector has size of 512*2*9*9;
      Sep 16th, 2019:
      1   add dynamic loss weight according trainin  data;
      2   refine learning rate decay.
      Sep 21st, 2019
      1   add improved Boundary Loss2, and inherit the previous learningrate of network of pure CELoss;
      Sep 23rd, 2019:
      1   improve mean of boundary loss limited on the A,B regions;
      2   use log(segProb) instead of segProb in the boudary loss;
      3   CrossEntropy weight reduces 0.01 per 5 epochs from 1 to 0.01, while boundary Loss weight increase 0.01 per 5 epochs from 0.01 to 1. 
      Sep 24th, 2019
      1   Use boundaryLoss1, which is considering the whole volume. 
      Sep 25th, 2019
      1   use boundaryLoss3, which is a stronger gradient signal to improve loss.
      2   unbalanced weight for class is applied on logP,and just use boundaryLoss3 with CELoss.
      3   use CELoss and boundaryLoss together.
      4   Use truncated DistanceCrossEntropy Loss alone;
      5   change LRScheduler into reduce into Plateau with initial LR=0.1
      Sep 26th, 2019
      1   Add one layer in the bottom of V model;
      2   Add residual connnection in each layer;
      
      
         

Discarded changes:                  

Experiment setting:
Input CT data: 51*171*171 ROI around primary cancer

Loss Function:  SoftMax

Data:   total 36 patients with 50-80% label, 6-fold cross validation, test 6, validation 6, and training 24.  
    script: python3.7 statisticsLabelFiles.py 
    Total 36 in /home/hxie1/data/OvarianCancerCT/primaryROI/labels_npy
    0 has 48159408 elements, with a rate of  0.8970491562903105 
    1 has 5527068 elements, with a rate of  0.10295084370968957

Training strategy: 

          

Program starting Time: 2019-09-28 17:43:36.115785
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI/20190928_174336

Info: this is the 5th fold leave for test in the 6-fold cross-validation.

Info: batchSize = 6

Net parameters is saved in  /home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI/20190928_174336.
6-fold cross validation: the 5th fold is for test, the 0th fold is for validation, remaining folds are for training.

training dataset: total 24 image files.

validation dataset: total 6 image files.

test dataset: total 6 image files.
Total 24 training files  extracted from /home/hxie1/data/OvarianCancerCT/primaryROI/labels_npy
0 has 32351335 elements, with a rate of  0.9038962158738078 
1 has 3439649 elements, with a rate of  0.09610378412619222 
loss weight = tensor([1.0000, 9.4054])
Network has total 73,047,746 parameters.


************** Table of Training Log **************
Epoch	LearningRate		TrainingLoss	Dice		ValidationLoss	Dice		TestLoss	Dice
0	1.0000e-02		41.7007		0.03244		36238.7422		0.00000		49431.6797		0.00000
5	1.0000e-02		9.1852		0.44917		10.1151		0.33859		8.7181		0.44912
10	1.0000e-02		6.3128		0.50056		12.1848		0.36386		10.8810		0.48995
15	1.0000e-02		5.3183		0.55024		8.0782		0.44592		6.8426		0.55507
20	1.0000e-02		4.6952		0.55969		5.6055		0.50510		5.6421		0.60033
25	1.0000e-02		5.4927		0.56717		5.9476		0.50161		5.4815		0.60160
30	1.0000e-02		4.6497		0.52732		4.6431		0.57351		5.5244		0.64577
35	1.0000e-02		5.3020		0.54446		5.2061		0.55699		6.0564		0.63364
40	1.0000e-02		5.7666		0.52455		6.2921		0.52348		7.3319		0.59274
45	1.0000e-02		4.3274		0.56543		5.8243		0.49770		6.0758		0.59535
50	1.0000e-02		4.4010		0.58755		4.7492		0.54363		4.7523		0.63403
55	1.0000e-02		4.3781		0.60525		4.7241		0.59745		5.3984		0.66650
60	1.0000e-02		4.3745		0.57659		4.8416		0.57331		5.9882		0.63015
65	1.0000e-02		5.8035		0.55803		5.5628		0.50455		4.9357		0.59420
70	1.0000e-02		4.2284		0.62628		3.8460		0.62581		6.1409		0.65741
75	1.0000e-02		3.3489		0.60307		4.7699		0.55315		4.3637		0.64586
80	1.0000e-02		4.1379		0.58160		5.5739		0.57707		5.3012		0.67099
85	1.0000e-02		3.5933		0.63859		4.0748		0.63111		5.6959		0.68054
90	1.0000e-02		3.7391		0.63832		4.1583		0.60750		4.2433		0.68334
95	1.0000e-02		3.8098		0.63364		4.3800		0.56987		5.5877		0.63733
100	1.0000e-02		4.1284		0.63302		4.2242		0.57996		5.9781		0.64563
105	1.0000e-02		4.3036		0.59000		5.0720		0.50762		5.0986		0.61808
110	1.0000e-02		3.9747		0.62771		5.4545		0.52591		4.8908		0.62379
115	1.0000e-02		3.2288		0.67398		8.2431		0.57870		5.4873		0.70785
120	1.0000e-02		3.2025		0.65438		4.1828		0.64168		6.6256		0.65934
125	1.0000e-03		4.8058		0.53546		40.4412		0.38839		45.8507		0.46807
130	1.0000e-03		4.2335		0.59339		3.9939		0.61783		5.3108		0.66177
135	1.0000e-03		3.5488		0.63762		4.0768		0.62116		5.7584		0.66629
140	1.0000e-03		3.2187		0.61049		3.8350		0.62557		4.8248		0.67985
145	1.0000e-03		2.7333		0.65197		3.8836		0.62608		5.2841		0.68416
150	1.0000e-03		3.1477		0.69523		3.7894		0.65057		5.1324		0.69305
155	1.0000e-03		3.0913		0.63782		3.6158		0.63999		4.7933		0.68633
160	1.0000e-03		2.7890		0.66166		3.7552		0.65505		5.8813		0.70418
165	1.0000e-03		2.7469		0.64686		3.6357		0.63507		4.7832		0.69967
170	1.0000e-03		2.8336		0.66894		3.6147		0.62493		4.9618		0.69853
175	1.0000e-03		2.9606		0.67297		3.6532		0.64163		4.7101		0.69842
180	1.0000e-03		2.7254		0.65663		3.4739		0.64765		4.7641		0.69548
