=============training from sratch============
Program ID: 31916

Program command: 
 ['TrainSegV3d_ROI.py', '/home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI', '1', '/home/hxie1/data/OvarianCancerCT/primaryROI/nrrd_npy', '/home/hxie1/data/OvarianCancerCT/primaryROI/labels_npy', '3', '3,2,1']

Major program changes: 
      1  3D V model for primary cancer ROI;
      2  Uniform ROI size: 51*171*171 in z,y,x directon;
      3  Total 36 patient data, in which training data 24 patients, validation 6 patients, and test 6 patients;
      4  all 36 patients data have 50-80% 3D label;
      5  Dice coefficient is 3D dice coefficient against corresponding 3D ground truth;
      6  training data augmentation in the fly: affine in XY plane, translation in Z direction;
      7  In the bottle neck of V model, the latent vector has size of 512*2*9*9;
      Sep 16th, 2019:
      1   add dynamic loss weight according trainin  data;
      2   refine learning rate decay.
      Sep 21st, 2019
      1   add improved Boundary Loss2, and inherit the previous learningrate of network of pure CELoss;
      Sep 23rd, 2019:
      1   improve mean of boundary loss limited on the A,B regions;
      2   use log(segProb) instead of segProb in the boudary loss;
      3   CrossEntropy weight reduces 0.01 per 5 epochs from 1 to 0.01, while boundary Loss weight increase 0.01 per 5 epochs from 0.01 to 1. 
      Sep 24th, 2019
      1   Use boundaryLoss1, which is considering the whole volume. 
      Sep 25th, 2019
      1   use boundaryLoss3, which is a stronger gradient signal to improve loss.
      2   unbalanced weight for class is applied on logP,and just use boundaryLoss3 with CELoss.
      3   use CELoss and boundaryLoss together.
      4   Use truncated DistanceCrossEntropy Loss alone;
      5   change LRScheduler into reduce into Plateau with initial LR=0.1
      Sep 26th, 2019
      1   Add one layer in the bottom of V model;
      2   Add residual connnection in each layer;
      
      
         

Discarded changes:                  

Experiment setting:
Input CT data: 51*171*171 ROI around primary cancer

Loss Function:  SoftMax

Data:   total 36 patients with 50-80% label, 6-fold cross validation, test 6, validation 6, and training 24.  
    script: python3.7 statisticsLabelFiles.py 
    Total 36 in /home/hxie1/data/OvarianCancerCT/primaryROI/labels_npy
    0 has 48159408 elements, with a rate of  0.8970491562903105 
    1 has 5527068 elements, with a rate of  0.10295084370968957

Training strategy: 

          

Program starting Time: 2019-09-29 06:17:47.583321
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI/20190929_061747

Info: this is the 3th fold leave for test in the 6-fold cross-validation.

Info: batchSize = 6

Net parameters is saved in  /home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI/20190929_061747.
6-fold cross validation: the 3th fold is for test, the 4th fold is for validation, remaining folds are for training.

training dataset: total 24 image files.

validation dataset: total 6 image files.

test dataset: total 6 image files.
Total 24 training files  extracted from /home/hxie1/data/OvarianCancerCT/primaryROI/labels_npy
0 has 31940364 elements, with a rate of  0.8924136872012236 
1 has 3850620 elements, with a rate of  0.10758631279877637 
loss weight = tensor([1.0000, 8.2949])
Network has total 73,047,746 parameters.


************** Table of Training Log **************
Epoch	LearningRate		TrainingLoss	Dice		ValidationLoss	Dice		TestLoss	Dice
0	1.0000e-02		57.2846		0.09665		2243.0215		0.00000		2805.8044		0.00000
5	1.0000e-02		12.4878		0.34530		11.1645		0.29796		11.0933		0.30691
10	1.0000e-02		7.1179		0.50543		12.7445		0.51353		79.5422		0.58579
15	1.0000e-02		5.6555		0.52838		8.8838		0.54030		20.5288		0.59750
20	1.0000e-02		6.5983		0.55712		8.8020		0.45256		9.4475		0.48551
25	1.0000e-02		5.4732		0.58167		6.8154		0.60889		15.4212		0.63184
30	1.0000e-02		6.0111		0.56830		9.2134		0.48412		29.0577		0.61218
35	1.0000e-02		4.4942		0.60059		9.5466		0.48884		14.9618		0.50356
40	1.0000e-02		4.8062		0.53819		6.7307		0.43453		6.2398		0.47588
45	1.0000e-02		4.9197		0.56297		7.8990		0.54708		12.2289		0.62584
50	1.0000e-02		4.3575		0.54927		6.5558		0.47942		6.3983		0.53684
55	1.0000e-02		4.1252		0.57999		7.7374		0.53630		12.1118		0.49600
60	1.0000e-02		4.1013		0.59223		5.5736		0.60255		10.0740		0.66960
65	1.0000e-02		5.4965		0.60042		5.5868		0.59255		13.6972		0.51969
70	1.0000e-02		4.1850		0.61184		5.0199		0.53928		4.9820		0.60575
75	1.0000e-02		4.1982		0.57542		5.2273		0.54923		5.9991		0.54567
80	1.0000e-02		3.8768		0.58294		5.4984		0.58712		14.9957		0.51035
85	1.0000e-02		3.9054		0.63583		6.5219		0.54792		8.6343		0.50577
90	1.0000e-02		3.6311		0.58860		14.3563		0.33898		12.3213		0.47816
95	1.0000e-02		3.9126		0.61230		9.7637		0.38709		8.7803		0.42734
100	1.0000e-02		4.4499		0.56677		6.4112		0.50650		6.8485		0.59528
105	1.0000e-02		4.4687		0.60414		5.9652		0.49503		8.3383		0.50608
110	1.0000e-02		3.7417		0.61839		5.7765		0.57335		7.7978		0.59678
115	1.0000e-02		3.8889		0.64474		7.3847		0.54561		12.0793		0.54166
120	1.0000e-02		3.2255		0.64654		4.8683		0.56789		5.4779		0.60054
125	1.0000e-02		3.9772		0.63328		7.7390		0.52142		9.7255		0.58749
130	1.0000e-02		3.3217		0.63195		5.5841		0.57792		6.0459		0.61703
135	1.0000e-02		2.8320		0.63335		7.8358		0.53145		16.5613		0.48417
140	1.0000e-02		3.4758		0.60930		6.3393		0.54192		7.4835		0.57014
145	1.0000e-02		2.9014		0.70037		7.4563		0.52383		6.1246		0.62978
150	1.0000e-02		3.0517		0.68326		6.2127		0.55169		5.6455		0.65781
155	1.0000e-02		2.7542		0.66386		7.4832		0.53508		5.5865		0.64158
160	1.0000e-02		2.6697		0.65029		5.7690		0.56618		4.9291		0.65913
165	1.0000e-02		2.7557		0.66353		7.3912		0.51804		8.0560		0.58642
170	1.0000e-02		3.2520		0.67492		11.8157		0.40296		23.6845		0.45127
175	1.0000e-03		2.8983		0.70364		7.5901		0.56662		7.3100		0.67426
180	1.0000e-03		2.3137		0.68579		7.1332		0.56252		6.3069		0.67310
185	1.0000e-03		2.4105		0.65053		7.3807		0.54357		6.7806		0.64974
190	1.0000e-03		2.2780		0.71811		7.5304		0.53627		5.9653		0.65553
195	1.0000e-03		2.6331		0.68596		7.2315		0.55774		6.0437		0.64671
200	1.0000e-03		3.6289		0.68015		6.9732		0.55133		5.5596		0.65001
205	1.0000e-03		2.4058		0.69970		7.6960		0.54824		5.9737		0.67306
210	1.0000e-03		3.0216		0.70404		7.3494		0.53934		5.8848		0.65102
215	1.0000e-03		2.2645		0.68919		7.2660		0.53684		6.5678		0.65761
220	1.0000e-03		2.3810		0.71338		6.6120		0.56845		5.7364		0.66074
