=============training from sratch============
Program ID: 17769

Program command: 
 ['TrainSegV3d_ROI.py', '/home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI', '1', '/home/hxie1/data/OvarianCancerCT/primaryROI1_1_3/nrrd_npy', '/home/hxie1/data/OvarianCancerCT/primaryROI1_1_3/labels_npy', '5', '3,2,1']

Major program changes: 
      1  3D V model for primary cancer ROI;
      2  Uniform ROI size: 51*171*171 in z,y,x directon;
      3  Total 36 patient data, in which training data 24 patients, validation 6 patients, and test 6 patients;
      4  all 36 patients data have 50-80% 3D label;
      5  Dice coefficient is 3D dice coefficient against corresponding 3D ground truth;
      6  training data augmentation in the fly: affine in XY plane, translation in Z direction;
      7  In the bottle neck of V model, the latent vector has size of 512*2*9*9;
      Sep 16th, 2019:
      1   add dynamic loss weight according trainin  data;
      2   refine learning rate decay.
      Sep 21st, 2019
      1   add improved Boundary Loss2, and inherit the previous learningrate of network of pure CELoss;
      Sep 23rd, 2019:
      1   improve mean of boundary loss limited on the A,B regions;
      2   use log(segProb) instead of segProb in the boudary loss;
      3   CrossEntropy weight reduces 0.01 per 5 epochs from 1 to 0.01, while boundary Loss weight increase 0.01 per 5 epochs from 0.01 to 1. 
      Sep 24th, 2019
      1   Use boundaryLoss1, which is considering the whole volume. 
      Sep 25th, 2019
      1   use boundaryLoss3, which is a stronger gradient signal to improve loss.
      2   unbalanced weight for class is applied on logP,and just use boundaryLoss3 with CELoss.
      3   use CELoss and boundaryLoss together.
      4   Use truncated DistanceCrossEntropy Loss alone;
      5   change LRScheduler into reduce into Plateau with initial LR=0.1
      Sep 26th, 2019
      1   Add one layer in the bottom of V model;
      2   Add residual connnection in each layer;
      Sep 30th, 2019
      1   With size-reduced ROI of size 51*149*149;
      2   reduce the translation of data augmentation;
      3   reduce all data into 35 patients, excluding a very blur patient.
      Oct 5th, 2019
      1   use uniform physical size 147mm*147mm*147mm, input pixel size: 49*147*147 with spacing size 3mm*1mm*1mm;
      2   change V model with inputsize 49*147*147
      Oct 6th, 2019
      1   add filter number to 48 at the first layer. 
      Oct 7th, 2019
      1   restore to 32 of number of filters in the first layer;
      2   add bottom number of filters to 1024, and keep down sample and add filter number together. 
      Oct 8th, 2019
      1   discard the cancer with size exceeding 147mm*147mm*147mm; Now remains 29 patients data; 
      Oct 9th, 209
      1   In the first layer of V model, remove the residual link; 
           with the residula link at first layer: Tr dice:54%, Validation Dice 27%, Test Dice 56%;  Not good.
      2   the final output layer, change into 1*1*1 convolution, instead of 3*3*3 convolution;
      3   add labelConsistencyLoss;
          
         

Discarded changes:                  
          

Program starting Time: 2019-10-11 17:03:56.231374
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI/20191011_170356

Info: this is the 5th fold leave for test in the 6-fold cross-validation.

Info: batchSize = 6

Info: useLabelConsistencyLoss = False

Net parameters is saved in  /home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI/20191011_170356.
6-fold cross validation: the 5th fold is for test, the 0th fold is for validation, remaining folds are for training.

training dataset: total 20 image files.

validation dataset: total 5 image files.

test dataset: total 4 image files.
Total 20 training files  extracted from /home/hxie1/data/OvarianCancerCT/primaryROI1_1_3/labels_npy
0 has 19594676 elements, with a rate of  0.925288877177971 
1 has 1582144 elements, with a rate of  0.07471112282202899 
loss weight = tensor([ 1.0000, 12.3849])
Network has total 113,191,074 parameters.


************** Table of Training Log **************
Epoch	LearningRate		TrainingLoss	Dice		ValidationLoss	Dice		TestLoss	Dice
0	1.0000e-02		16.5089		0.13340		422.3441		0.00000		253.2658		0.00000
5	1.0000e-02		7.2405		0.26495		8.8440		0.24797		6.1865		0.21680
10	1.0000e-02		6.7546		0.26593		9.3718		0.23280		5.7316		0.21443
15	1.0000e-02		6.4891		0.30623		7.0043		0.29649		4.3433		0.29519
20	1.0000e-02		6.4267		0.35428		9.4886		0.27171		4.8832		0.26750
25	1.0000e-02		7.1489		0.30711		7.5323		0.28581		3.7452		0.29340
30	1.0000e-02		5.4696		0.31635		5.7047		0.32910		4.3985		0.29317
35	1.0000e-02		6.1091		0.40885		4.8125		0.41683		3.8468		0.36706
40	1.0000e-02		4.2808		0.39082		5.5734		0.50151		5.3719		0.38584
45	1.0000e-02		5.9877		0.35798		4.3138		0.40291		3.4455		0.35570
50	1.0000e-02		6.9691		0.41715		3.3984		0.45665		3.0542		0.41168
55	1.0000e-02		5.7418		0.37925		4.1444		0.40250		3.7697		0.36821
60	1.0000e-02		4.9309		0.41910		4.3120		0.51871		4.1956		0.43330
65	1.0000e-02		5.9822		0.42007		4.9648		0.38572		3.2473		0.36348
70	1.0000e-02		4.9592		0.38764		4.1227		0.40743		4.1465		0.34841
75	1.0000e-02		5.6040		0.32470		3.3453		0.46943		2.8160		0.44088
80	1.0000e-02		7.1462		0.37057		10.6253		0.25133		6.1253		0.26102
85	1.0000e-02		6.2176		0.39097		11.2946		0.24518		5.7787		0.27825
90	1.0000e-02		4.6644		0.35117		3.6463		0.44501		4.2649		0.38278
95	1.0000e-02		3.7191		0.42304		4.2679		0.39502		4.0688		0.35929
100	1.0000e-02		4.0687		0.42709		3.8721		0.64628		5.0805		0.48798
105	1.0000e-02		3.9410		0.40376		2.5451		0.53602		3.4954		0.42659
110	1.0000e-02		4.6617		0.36864		3.2224		0.54786		3.7964		0.42592
115	1.0000e-02		4.3269		0.42269		2.9016		0.47330		3.1690		0.41830
120	1.0000e-02		5.1826		0.39552		3.7359		0.42368		3.0343		0.39019
125	1.0000e-02		3.5499		0.44775		3.3513		0.50101		2.8525		0.42897
130	1.0000e-02		3.4797		0.43487		2.9363		0.49230		2.7965		0.41773
135	1.0000e-02		3.4236		0.45721		2.4885		0.64430		4.6628		0.47502
140	1.0000e-02		3.2371		0.44175		3.1278		0.55221		3.3563		0.47138
145	1.0000e-02		5.6229		0.36445		4.0170		0.44669		2.4312		0.46842
150	1.0000e-02		4.5926		0.40091		5.4394		0.35533		3.2561		0.35477
155	1.0000e-02		5.1982		0.33680		3.8000		0.39735		2.6962		0.39058
160	1.0000e-02		5.2161		0.40821		5.6393		0.32669		4.0638		0.31971
165	1.0000e-02		4.0873		0.36074		3.5963		0.50796		3.7960		0.39866
170	1.0000e-02		3.7129		0.46769		3.1060		0.56195		3.4270		0.49549
175	1.0000e-02		3.4099		0.44600		2.4406		0.57253		2.7080		0.46764
180	1.0000e-02		3.7356		0.46865		3.6315		0.53190		3.8265		0.48959
185	1.0000e-02		4.0192		0.43443		4.0343		0.39061		3.4636		0.36905
190	1.0000e-02		3.7714		0.44807		3.0845		0.47092		2.7252		0.42325
195	1.0000e-02		3.9092		0.47793		3.0096		0.52975		3.3261		0.47088
200	1.0000e-02		2.7341		0.49177		2.7413		0.57781		4.0660		0.45354
205	1.0000e-02		3.3898		0.42863		3.4764		0.56659		3.6475		0.46264
210	1.0000e-02		2.8898		0.48556		3.1719		0.62099		4.2016		0.47679
215	1.0000e-02		3.3723		0.44027		3.8850		0.53858		3.3217		0.50273
220	1.0000e-02		4.4041		0.48216		3.1311		0.51086		3.2440		0.42381
225	1.0000e-02		2.9054		0.47838		2.7468		0.61093		3.1286		0.52254
230	1.0000e-03		3.3545		0.55627		2.9337		0.56992		3.4109		0.46574
235	1.0000e-03		3.2225		0.43523		2.8579		0.61271		4.2523		0.43165
240	1.0000e-03		2.2882		0.56108		2.6118		0.60821		3.1534		0.52811
245	1.0000e-03		2.7425		0.52800		2.3896		0.62580		3.4111		0.53174
250	1.0000e-03		2.6508		0.55980		2.4080		0.58718		2.9441		0.51450
255	1.0000e-03		2.3279		0.54539		2.4735		0.57772		3.2064		0.51607
260	1.0000e-03		2.2524		0.52539		2.3372		0.61252		3.3916		0.51372
265	1.0000e-03		2.2164		0.56701		2.3122		0.61637		3.6837		0.51126
270	1.0000e-03		2.0819		0.57492		2.3042		0.60945		3.4778		0.51482
275	1.0000e-03		2.0459		0.55625		2.3877		0.59686		3.1692		0.51029
280	1.0000e-03		1.8925		0.51477		2.3526		0.58572		2.8630		0.50443
285	1.0000e-03		1.9335		0.54962		2.1866		0.62488		3.6707		0.51632
290	1.0000e-03		2.1659		0.57364		2.4018		0.59516		3.5497		0.50903
295	1.0000e-03		2.2891		0.57993		2.2466		0.62327		3.2222		0.52425
300	1.0000e-03		1.9937		0.54211		2.2989		0.59375		2.9525		0.51783
305	1.0000e-03		1.9783		0.60172		2.4082		0.60236		3.2747		0.51120
310	1.0000e-03		1.8727		0.54475		2.5778		0.59637		3.2963		0.51871
315	1.0000e-03		2.0980		0.55363		2.3866		0.59031		2.9902		0.50846
320	1.0000e-03		1.9053		0.54063		2.3566		0.62291		3.6512		0.51542
325	1.0000e-03		2.1163		0.51696		2.4277		0.60046		2.9696		0.51680
330	1.0000e-03		1.8277		0.56793		2.2914		0.61873		3.4890		0.51695
