=============training from sratch============
Program ID: 17914

Program command: 
 ['TrainSegV3d_ROI.py', '/home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI', '1', '/home/hxie1/data/OvarianCancerCT/primaryROI1_1_3/nrrd_npy', '/home/hxie1/data/OvarianCancerCT/primaryROI1_1_3/labels_npy', '4', '3,2,1']

Major program changes: 
      1  3D V model for primary cancer ROI;
      2  Uniform ROI size: 51*171*171 in z,y,x directon;
      3  Total 36 patient data, in which training data 24 patients, validation 6 patients, and test 6 patients;
      4  all 36 patients data have 50-80% 3D label;
      5  Dice coefficient is 3D dice coefficient against corresponding 3D ground truth;
      6  training data augmentation in the fly: affine in XY plane, translation in Z direction;
      7  In the bottle neck of V model, the latent vector has size of 512*2*9*9;
      Sep 16th, 2019:
      1   add dynamic loss weight according trainin  data;
      2   refine learning rate decay.
      Sep 21st, 2019
      1   add improved Boundary Loss2, and inherit the previous learningrate of network of pure CELoss;
      Sep 23rd, 2019:
      1   improve mean of boundary loss limited on the A,B regions;
      2   use log(segProb) instead of segProb in the boudary loss;
      3   CrossEntropy weight reduces 0.01 per 5 epochs from 1 to 0.01, while boundary Loss weight increase 0.01 per 5 epochs from 0.01 to 1. 
      Sep 24th, 2019
      1   Use boundaryLoss1, which is considering the whole volume. 
      Sep 25th, 2019
      1   use boundaryLoss3, which is a stronger gradient signal to improve loss.
      2   unbalanced weight for class is applied on logP,and just use boundaryLoss3 with CELoss.
      3   use CELoss and boundaryLoss together.
      4   Use truncated DistanceCrossEntropy Loss alone;
      5   change LRScheduler into reduce into Plateau with initial LR=0.1
      Sep 26th, 2019
      1   Add one layer in the bottom of V model;
      2   Add residual connnection in each layer;
      Sep 30th, 2019
      1   With size-reduced ROI of size 51*149*149;
      2   reduce the translation of data augmentation;
      3   reduce all data into 35 patients, excluding a very blur patient.
      Oct 5th, 2019
      1   use uniform physical size 147mm*147mm*147mm, input pixel size: 49*147*147 with spacing size 3mm*1mm*1mm;
      2   change V model with inputsize 49*147*147
      Oct 6th, 2019
      1   add filter number to 48 at the first layer. 
      Oct 7th, 2019
      1   restore to 32 of number of filters in the first layer;
      2   add bottom number of filters to 1024, and keep down sample and add filter number together. 
      Oct 8th, 2019
      1   discard the cancer with size exceeding 147mm*147mm*147mm; Now remains 29 patients data; 
      Oct 9th, 209
      1   In the first layer of V model, remove the residual link; 
           with the residula link at first layer: Tr dice:54%, Validation Dice 27%, Test Dice 56%;  Not good.
      2   the final output layer, change into 1*1*1 convolution, instead of 3*3*3 convolution;
      3   add labelConsistencyLoss;
          
         

Discarded changes:                  
          

Program starting Time: 2019-10-11 09:15:35.314090
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI/20191011_091535

Info: this is the 4th fold leave for test in the 6-fold cross-validation.

Info: batchSize = 6

Info: useLabelConsistencyLoss = False

Net parameters is saved in  /home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI/20191011_091535.
6-fold cross validation: the 4th fold is for test, the 5th fold is for validation, remaining folds are for training.

training dataset: total 20 image files.

validation dataset: total 4 image files.

test dataset: total 5 image files.
Total 20 training files  extracted from /home/hxie1/data/OvarianCancerCT/primaryROI1_1_3/labels_npy
0 has 19822023 elements, with a rate of  0.9360245305952452 
1 has 1354797 elements, with a rate of  0.06397546940475482 
loss weight = tensor([ 1.0000, 14.6310])
Network has total 113,191,074 parameters.


************** Table of Training Log **************
Epoch	LearningRate		TrainingLoss	Dice		ValidationLoss	Dice		TestLoss	Dice
0	1.0000e-02		12.3563		0.10875		182.7309		0.00000		329.4412		0.00000
5	1.0000e-02		8.6794		0.25345		8.5126		0.16657		10.7205		0.35970
10	1.0000e-02		7.5227		0.31432		8.6191		0.21296		13.4569		0.35450
15	1.0000e-02		5.2005		0.32992		10.6302		0.21634		32.5984		0.29876
20	1.0000e-02		5.6249		0.36766		5.4446		0.33421		16.5094		0.43908
25	1.0000e-02		5.2105		0.36461		7.6014		0.28128		24.5927		0.35017
30	1.0000e-02		6.7081		0.33774		4.7881		0.32751		9.2694		0.42391
35	1.0000e-02		6.3300		0.32042		4.5940		0.37609		7.6368		0.49845
40	1.0000e-02		6.4490		0.34912		6.6403		0.29640		7.1822		0.42755
45	1.0000e-02		11.1116		0.33774		5.4637		0.35664		11.1586		0.44014
50	1.0000e-02		5.5989		0.36867		5.4103		0.32727		11.5874		0.41033
55	1.0000e-02		7.5411		0.37456		7.7669		0.27619		5.6931		0.50483
60	1.0000e-02		5.7195		0.35548		6.1710		0.29583		13.5408		0.40578
65	1.0000e-02		4.7829		0.36427		6.3960		0.32968		13.3614		0.42389
70	1.0000e-02		3.7793		0.38984		6.4821		0.28511		8.8679		0.40452
75	1.0000e-02		4.5674		0.37259		4.4546		0.30494		10.7504		0.40308
80	1.0000e-02		4.4529		0.29834		4.1996		0.31304		8.0954		0.44632
85	1.0000e-02		4.1855		0.38188		3.2758		0.38520		7.5857		0.45546
90	1.0000e-02		4.0146		0.40581		5.5820		0.35670		6.5755		0.52408
95	1.0000e-02		5.1232		0.38363		3.9577		0.40490		7.5910		0.50904
100	1.0000e-02		4.1193		0.39926		3.9237		0.37994		6.0598		0.49144
105	1.0000e-02		4.3964		0.38754		4.7151		0.38830		6.4748		0.52675
110	1.0000e-02		3.6180		0.45781		6.2573		0.32494		6.4280		0.52717
115	1.0000e-02		3.0431		0.44043		5.0685		0.37907		7.0494		0.55101
120	1.0000e-02		3.7211		0.42877		6.9444		0.26930		7.3467		0.51407
125	1.0000e-02		3.3357		0.43945		2.8424		0.42019		6.4442		0.49885
130	1.0000e-02		2.4844		0.46277		5.4117		0.39884		5.8432		0.56545
135	1.0000e-02		5.2787		0.38321		5.4365		0.38256		14.9623		0.34571
140	1.0000e-02		3.4578		0.38811		4.4375		0.39622		6.7006		0.58244
145	1.0000e-02		4.6140		0.35176		3.9913		0.49932		9.5237		0.55299
150	1.0000e-02		3.6940		0.37723		3.7168		0.36452		6.4815		0.48978
155	1.0000e-02		6.5255		0.32836		3.1438		0.49906		7.2149		0.54341
160	1.0000e-02		4.0804		0.42747		3.7407		0.38666		7.2747		0.51508
165	1.0000e-02		3.9213		0.37735		2.7800		0.39164		4.4799		0.52044
170	1.0000e-02		5.0148		0.39484		6.4481		0.36853		23.1246		0.37118
175	1.0000e-02		3.6576		0.44299		4.8982		0.36566		8.0958		0.51707
180	1.0000e-02		3.4936		0.39658		3.5412		0.39013		6.2520		0.53031
185	1.0000e-02		2.9339		0.47487		3.7903		0.40587		7.1014		0.55276
190	1.0000e-02		3.4628		0.47316		3.1263		0.41874		4.3798		0.55764
195	1.0000e-02		2.7886		0.49384		3.7720		0.39125		6.7748		0.51908
200	1.0000e-02		2.7047		0.43548		4.5381		0.37878		9.8886		0.54052
205	1.0000e-02		2.4521		0.51345		3.4867		0.40590		5.3252		0.54975
210	1.0000e-02		2.5763		0.47763		3.6566		0.40578		5.9658		0.52922
215	1.0000e-02		2.7045		0.54501		4.2888		0.40707		8.9480		0.51613
220	1.0000e-03		2.8463		0.49040		3.4671		0.37930		6.7676		0.49310
225	1.0000e-03		2.5477		0.49515		2.9762		0.47426		5.2148		0.56251
230	1.0000e-03		2.1264		0.54436		2.9752		0.47622		5.0327		0.59011
235	1.0000e-03		2.0272		0.48309		3.1055		0.42715		4.8548		0.53925
240	1.0000e-03		2.2539		0.46594		3.4253		0.46462		5.1479		0.59055
245	1.0000e-03		2.4531		0.53890		3.6546		0.46773		5.6928		0.60079
250	1.0000e-03		1.9749		0.50762		3.0597		0.45554		4.9971		0.58334
255	1.0000e-03		2.4720		0.51573		2.9879		0.44930		5.0595		0.57079
260	1.0000e-03		1.7282		0.52876		2.8433		0.44109		4.7252		0.56085
265	1.0000e-03		2.1266		0.51943		2.9254		0.45111		5.2135		0.56398
270	1.0000e-03		1.8341		0.53603		3.3021		0.47447		6.0090		0.59880
275	1.0000e-04		2.9674		0.50961		3.2354		0.45476		6.1396		0.54680
280	1.0000e-04		2.0815		0.53517		3.0775		0.44411		5.4291		0.54925
285	1.0000e-04		2.1140		0.48755		3.1270		0.45141		5.6316		0.55531
290	1.0000e-04		2.0096		0.54988		3.0064		0.45710		5.1880		0.56520
295	1.0000e-04		2.4913		0.52525		3.0054		0.46019		5.2537		0.56510
300	1.0000e-04		3.1777		0.54511		3.0207		0.45925		5.2877		0.57268
305	1.0000e-04		2.1286		0.51597		2.9564		0.45883		5.0624		0.56072
310	1.0000e-04		1.7669		0.55545		3.0537		0.47057		5.1191		0.58083
315	1.0000e-04		1.7644		0.54466		2.9547		0.45217		4.8152		0.55722
320	1.0000e-04		2.1262		0.55361		3.0245		0.46656		4.8995		0.57675
325	1.0000e-04		1.8300		0.49672		2.9490		0.45563		5.1751		0.56349
330	1.0000e-05		1.7791		0.50383		3.0961		0.46710		5.4073		0.58270
335	1.0000e-05		1.9162		0.57404		3.1714		0.47433		4.9486		0.58377
340	1.0000e-05		1.9402		0.54927		3.0552		0.46540		5.0729		0.58075
345	1.0000e-05		1.7429		0.53076		2.9376		0.44919		4.7742		0.56345
350	1.0000e-05		2.2988		0.53565		2.9944		0.45369		4.9405		0.56937
355	1.0000e-05		2.0042		0.52651		2.9990		0.44564		4.8721		0.56081
360	1.0000e-05		1.9095		0.55479		3.0834		0.46710		5.5802		0.57859
365	1.0000e-05		3.4207		0.51096		2.9787		0.46288		5.5378		0.57766
370	1.0000e-05		2.0060		0.48802		2.9062		0.45167		4.8521		0.55848
375	1.0000e-05		2.1925		0.56222		3.1815		0.46161		5.3349		0.57720
380	1.0000e-05		1.9031		0.54705		3.0262		0.46016		5.2650		0.57592
385	1.0000e-06		2.1839		0.53778		3.0454		0.45647		5.0136		0.56704
390	1.0000e-06		2.1063		0.53136		3.1180		0.46938		5.6253		0.58367
395	1.0000e-06		2.0904		0.54580		2.9629		0.44775		5.3014		0.56593
400	1.0000e-06		1.7846		0.53615		2.9834		0.45500		5.3240		0.57248
405	1.0000e-06		2.4781		0.53027		3.0748		0.46914		5.1874		0.58187
410	1.0000e-06		2.0192		0.52050		3.1017		0.46872		5.0213		0.58299
415	1.0000e-06		1.8866		0.52819		3.0018		0.44974		4.9412		0.55731
420	1.0000e-06		2.2137		0.56130		3.2017		0.48065		5.1758		0.59319
425	1.0000e-06		1.9329		0.55345		3.2322		0.48397		5.2094		0.59246
430	1.0000e-06		1.8966		0.56513		3.1592		0.47561		4.9028		0.58895
435	1.0000e-06		2.1320		0.52100		3.1600		0.46016		5.0712		0.57488
440	1.0000e-07		1.8752		0.58136		3.1085		0.46588		5.6135		0.58303
445	1.0000e-07		2.1607		0.52214		3.0146		0.46692		5.0150		0.57964
450	1.0000e-07		2.0177		0.53332		2.9959		0.46342		5.0492		0.57375
455	1.0000e-07		2.2725		0.51299		2.9427		0.45144		4.9119		0.56248
460	1.0000e-07		2.1503		0.51511		2.8703		0.43720		5.3536		0.54909
465	1.0000e-07		2.0875		0.55474		3.1372		0.46700		5.5665		0.58229
470	1.0000e-07		2.0911		0.52649		3.0402		0.46898		4.9584		0.58094
475	1.0000e-07		1.8311		0.53722		3.1076		0.47215		5.4376		0.58534
480	1.0000e-07		1.8294		0.55605		3.0504		0.46354		5.3376		0.58056
485	1.0000e-07		2.6666		0.50462		3.0276		0.45958		5.0898		0.57308
490	1.0000e-07		1.9216		0.51713		3.0791		0.46193		5.8651		0.57829
495	1.0000e-08		2.2506		0.52013		2.9919		0.45417		5.0261		0.57195
500	1.0000e-08		2.1663		0.51766		3.0886		0.47024		5.2161		0.58537
505	1.0000e-08		2.1875		0.51313		3.0095		0.45952		4.7706		0.56959
510	1.0000e-08		1.6234		0.54181		3.1810		0.47052		5.6310		0.58468
515	1.0000e-08		2.0179		0.52735		3.1405		0.47287		4.9879		0.58672
520	1.0000e-08		2.3532		0.52341		3.0581		0.46291		5.3941		0.57829
525	1.0000e-08		2.2875		0.54351		2.9763		0.45263		5.3654		0.56841
530	1.0000e-08		1.7536		0.53227		3.0256		0.45157		4.8465		0.56527
535	1.0000e-08		2.1386		0.52480		3.1633		0.46572		5.5481		0.58381
540	1.0000e-08		1.9370		0.52807		3.0020		0.46527		5.1154		0.57416
545	1.0000e-08		2.3087		0.52349		2.9936		0.45716		4.8025		0.56985
550	1.0000e-08		2.0771		0.55561		3.0752		0.46204		5.1173		0.57804
555	1.0000e-08		1.7720		0.52458		3.3086		0.48349		5.0863		0.59543
560	1.0000e-08		1.7955		0.55039		3.1650		0.46821		5.2921		0.58553
565	1.0000e-08		1.8331		0.56440		2.9742		0.45447		5.0093		0.56488
570	1.0000e-08		2.4325		0.54628		3.1772		0.47148		5.4170		0.58485
575	1.0000e-08		2.9935		0.54734		3.1121		0.46642		5.1630		0.58142
580	1.0000e-08		2.1442		0.52304		3.1866		0.47002		5.7703		0.58810
585	1.0000e-08		1.7971		0.52162		3.0449		0.46529		5.0757		0.57933
590	1.0000e-08		2.0887		0.55567		3.0414		0.46145		4.7931		0.57732
595	1.0000e-08		2.0232		0.54547		3.2207		0.47200		5.4598		0.58854
600	1.0000e-08		1.8746		0.54496		3.1809		0.46295		5.3012		0.58010
605	1.0000e-08		1.9124		0.55690		3.1282		0.47303		5.1058		0.58804
610	1.0000e-08		2.0409		0.55937		3.0211		0.46438		5.0910		0.57863
615	1.0000e-08		3.0328		0.54879		3.1822		0.47401		5.3410		0.58838
620	1.0000e-08		2.1622		0.55297		2.9991		0.45771		5.4018		0.57443
625	1.0000e-08		2.0861		0.54714		3.1442		0.46346		5.3559		0.57865
630	1.0000e-08		1.9662		0.53183		3.1223		0.46293		4.9429		0.57727
635	1.0000e-08		2.5616		0.47515		3.0662		0.46085		4.9037		0.57852
640	1.0000e-08		2.1699		0.52986		2.9763		0.45071		4.8535		0.55710
645	1.0000e-08		2.6105		0.56353		3.0559		0.45689		4.8441		0.57132
650	1.0000e-08		2.2628		0.55032		3.0194		0.46261		5.1643		0.57573
655	1.0000e-08		1.9256		0.51410		3.0835		0.47077		5.4300		0.57500
660	1.0000e-08		2.1574		0.49944		2.9270		0.45435		5.0242		0.56111
665	1.0000e-08		2.0070		0.54330		3.1347		0.46601		5.6217		0.58153
670	1.0000e-08		1.9931		0.55039		3.0899		0.47180		5.0194		0.58691
675	1.0000e-08		2.3994		0.49716		3.1272		0.46670		5.4917		0.57753
680	1.0000e-08		2.1127		0.50970		2.9787		0.44857		4.9566		0.56223
685	1.0000e-08		2.5612		0.51852		3.1388		0.45750		4.9292		0.57215
690	1.0000e-08		2.1931		0.51683		2.9793		0.45700		4.9538		0.56564
695	1.0000e-08		2.2159		0.54982		3.0432		0.45708		5.0074		0.56962
700	1.0000e-08		2.3474		0.53850		3.1123		0.46553		5.1290		0.58199
705	1.0000e-08		2.0475		0.56173		3.0902		0.45366		5.0828		0.57211
710	1.0000e-08		2.4714		0.52498		3.0458		0.45629		5.0331		0.57448
715	1.0000e-08		2.0839		0.56686		3.1006		0.46040		5.2849		0.57865
720	1.0000e-08		2.0550		0.51415		2.9576		0.45380		5.0422		0.56766
725	1.0000e-08		2.4068		0.54947		3.1709		0.46959		5.6992		0.58613
730	1.0000e-08		2.0629		0.56053		2.9342		0.44513		5.3124		0.55536
735	1.0000e-08		2.1036		0.52369		3.1114		0.46380		5.5592		0.58101
740	1.0000e-08		1.8771		0.51157		3.0138		0.45800		5.0550		0.57568
745	1.0000e-08		2.1832		0.54596		3.1497		0.46512		5.3687		0.58452
750	1.0000e-08		2.3952		0.56643		3.1068		0.46466		5.4396		0.57875
755	1.0000e-08		1.9758		0.53029		3.0297		0.45348		4.8950		0.56997
760	1.0000e-08		2.8305		0.58406		3.0868		0.45989		5.4355		0.57974
765	1.0000e-08		2.3117		0.51225		2.9921		0.46171		5.3527		0.56514
770	1.0000e-08		1.6006		0.54394		2.9268		0.45042		5.1998		0.56117
775	1.0000e-08		2.4748		0.51300		3.1160		0.46985		5.2117		0.58408
780	1.0000e-08		2.4028		0.53178		3.0939		0.46490		5.1792		0.58162
785	1.0000e-08		2.9799		0.52674		3.2009		0.47086		5.9845		0.58742
790	1.0000e-08		1.6639		0.54823		2.8744		0.44839		5.1649		0.55334
795	1.0000e-08		2.2853		0.51499		2.9852		0.45433		5.0234		0.56501
800	1.0000e-08		2.5905		0.53809		3.0196		0.45969		5.0076		0.57427
805	1.0000e-08		1.9838		0.53093		3.1267		0.47416		4.8887		0.58575
810	1.0000e-08		2.1466		0.51322		2.9498		0.45660		4.9275		0.56407
815	1.0000e-08		2.2965		0.52654		3.0465		0.46089		5.3992		0.57733
820	1.0000e-08		1.8239		0.53210		3.0947		0.47416		5.2068		0.58875
825	1.0000e-08		1.9324		0.51876		2.9818		0.45880		5.0107		0.57026
830	1.0000e-08		2.0063		0.52863		3.0130		0.44901		5.0007		0.56390
835	1.0000e-08		2.1408		0.53713		3.0040		0.45357		4.7064		0.56806
840	1.0000e-08		2.0041		0.50896		3.0432		0.46240		4.9785		0.56989
845	1.0000e-08		2.3457		0.52496		2.9747		0.45073		5.3490		0.56705
850	1.0000e-08		2.1057		0.55853		3.1235		0.46650		5.6357		0.57731
855	1.0000e-08		2.1195		0.56690		3.0906		0.46734		5.5931		0.58100
860	1.0000e-08		2.4107		0.55824		3.0508		0.45576		5.2567		0.57193
865	1.0000e-08		2.3881		0.53180		3.1335		0.47368		5.4759		0.59338
870	1.0000e-08		2.2756		0.53124		3.0687		0.46109		5.2419		0.57215
875	1.0000e-08		1.8298		0.53746		2.9701		0.45886		4.8766		0.57140
880	1.0000e-08		2.0174		0.53995		3.1028		0.46822		5.3758		0.58251
885	1.0000e-08		1.8879		0.53160		3.0298		0.46778		5.3743		0.57802
890	1.0000e-08		1.9742		0.53074		3.0781		0.45224		4.8571		0.56830
895	1.0000e-08		1.4255		0.52969		2.9238		0.45285		4.8730		0.56111
900	1.0000e-08		1.8431		0.55076		2.9934		0.45525		4.7527		0.56719
905	1.0000e-08		2.1302		0.54302		2.9698		0.45369		5.4363		0.56500
910	1.0000e-08		1.8395		0.57983		2.9723		0.46347		4.9857		0.56841
915	1.0000e-08		1.9721		0.56121		3.1410		0.46706		5.4762		0.58428
920	1.0000e-08		2.0084		0.57691		3.0187		0.45598		5.8997		0.56787
925	1.0000e-08		2.1073		0.51165		2.9992		0.44862		5.5052		0.56495
930	1.0000e-08		1.9911		0.54930		2.9829		0.45348		4.9431		0.56826
935	1.0000e-08		1.9381		0.53152		2.9949		0.46044		5.1264		0.57311
940	1.0000e-08		2.0152		0.52754		3.1260		0.47426		4.9521		0.59072
945	1.0000e-08		2.2879		0.54858		3.0552		0.45729		5.5400		0.57382
950	1.0000e-08		2.3442		0.50423		3.1178		0.46486		4.9880		0.57773
955	1.0000e-08		2.0421		0.52636		3.0798		0.46532		5.4523		0.58200
960	1.0000e-08		2.3722		0.50220		2.9373		0.45320		4.9920		0.56597
965	1.0000e-08		2.3415		0.52726		2.9587		0.45633		4.9097		0.55445
970	1.0000e-08		2.7777		0.51551		3.0476		0.46083		5.0034		0.57363
975	1.0000e-08		2.1577		0.50445		3.0670		0.45714		5.0228		0.57430
980	1.0000e-08		1.5759		0.55174		3.0611		0.46819		4.9427		0.57888
985	1.0000e-08		2.1095		0.50545		3.0399		0.45580		4.9599		0.57061
990	1.0000e-08		1.6874		0.53060		3.1515		0.46959		4.9442		0.58363
995	1.0000e-08		1.9397		0.52841		3.0929		0.46422		4.8258		0.57836
1000	1.0000e-08		2.2165		0.58613		3.2118		0.48270		5.3645		0.59572
1005	1.0000e-08		1.9868		0.52657		3.0123		0.45480		4.9940		0.57068
1010	1.0000e-08		2.1703		0.51144		2.9058		0.44877		5.0998		0.56486
1015	1.0000e-08		2.2836		0.52655		3.1121		0.46822		4.8056		0.58124
1020	1.0000e-08		1.8116		0.53441		3.1407		0.45914		5.1269		0.57491
1025	1.0000e-08		1.9312		0.51927		3.0860		0.47243		5.0854		0.58225
1030	1.0000e-08		2.1198		0.51946		3.1089		0.45865		5.9794		0.57266
1035	1.0000e-08		2.2831		0.53167		2.9910		0.44860		5.6240		0.55934
1040	1.0000e-08		1.8856		0.55875		3.1193		0.46286		5.2300		0.57906
1045	1.0000e-08		2.0502		0.54634		3.0579		0.45173		5.4332		0.56646
1050	1.0000e-08		1.9639		0.53405		3.0759		0.46759		5.3143		0.58046
1055	1.0000e-08		2.0110		0.53997		3.1520		0.46714		6.0491		0.58336
1060	1.0000e-08		1.8823		0.55114		3.0794		0.46458		4.9451		0.57827
1065	1.0000e-08		2.2059		0.54635		3.0346		0.45590		5.0075		0.57310
1070	1.0000e-08		2.1029		0.53524		3.0111		0.45699		5.7170		0.57382
1075	1.0000e-08		1.6646		0.53119		2.9448		0.45751		5.2193		0.56615
1080	1.0000e-08		2.1542		0.55524		3.0183		0.44872		4.7605		0.56288
1085	1.0000e-08		1.8604		0.55294		3.1098		0.46391		5.4489		0.58144
1090	1.0000e-08		1.9495		0.55560		3.1231		0.46434		5.1633		0.58250
1095	1.0000e-08		2.4608		0.53974		3.0462		0.45940		5.0045		0.57379
1100	1.0000e-08		2.1433		0.48974		2.9812		0.45376		4.9858		0.56811
1105	1.0000e-08		2.1831		0.53269		2.9551		0.44726		5.0050		0.55387
1110	1.0000e-08		2.2862		0.53941		3.0578		0.46443		5.1666		0.57746
1115	1.0000e-08		2.1203		0.52166		3.0170		0.45050		5.0655		0.56694
1120	1.0000e-08		1.5704		0.57385		2.9873		0.45682		5.0167		0.57214
1125	1.0000e-08		2.3594		0.52169		2.9777		0.45925		5.0973		0.57216
1130	1.0000e-08		2.3634		0.53094		2.9920		0.45345		5.1901		0.56264
1135	1.0000e-08		1.8793		0.55670		3.0897		0.46589		5.3409		0.57918
1140	1.0000e-08		2.1890		0.51382		3.1148		0.46543		5.2970		0.57979
1145	1.0000e-08		2.0444		0.53585		3.0265		0.46108		4.9523		0.57479
1150	1.0000e-08		1.9069		0.54689		3.1770		0.46234		5.5588		0.58051
1155	1.0000e-08		1.8298		0.50952		2.9550		0.46346		5.0067		0.56681
