=============training from sratch============
Program ID: 27162

Program command: 
 ['TrainSegV3d_ROI.py', '/home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI', '1', '/home/hxie1/data/OvarianCancerCT/primaryROI/nrrd_npy', '/home/hxie1/data/OvarianCancerCT/primaryROI/labels_npy', '0', '3,2,1']

Major program changes: 
      1  3D V model for primary cancer ROI;
      2  Uniform ROI size: 51*171*171 in z,y,x directon;
      3  Total 36 patient data, in which training data 24 patients, validation 6 patients, and test 6 patients;
      4  all 36 patients data have 50-80% 3D label;
      5  Dice coefficient is 3D dice coefficient against corresponding 3D ground truth;
      6  training data augmentation in the fly: affine in XY plane, translation in Z direction;
      7  In the bottle neck of V model, the latent vector has size of 512*2*9*9;
      Sep 16th, 2019:
      1   add dynamic loss weight according trainin  data;
      2   refine learning rate decay.
         

Discarded changes:                  

Experiment setting:
Input CT data: 51*171*171 ROI around primary cancer

Loss Function:  SoftMax

Data:   total 36 patients with 50-80% label, 6-fold cross validation, test 6, validation 6, and training 24.  
    script: python3.7 statisticsLabelFiles.py 
    Total 36 in /home/hxie1/data/OvarianCancerCT/primaryROI/labels_npy
    0 has 48159408 elements, with a rate of  0.8970491562903105 
    1 has 5527068 elements, with a rate of  0.10295084370968957

Training strategy: 

          

Program starting Time: 2019-09-16 16:33:47.368053
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI/20190916_163347

Info: this is the 0th fold leave for test in the 6-fold cross-validation.

Info: batchSize = 6

Net parameters is saved in  /home/hxie1/temp_netParameters/OvarianCancer/SegV3d_ROI/20190916_163347.
6-fold cross validation: the 0th fold is for test, the 1th fold is for validation, remaining folds are for training.

training dataset: total 24 image files.

validation dataset: total 6 image files.

test dataset: total 6 image files.
Network has total 32,972,258 parameters.


************** Table of Training Log **************
Epoch	LearningRate		TrainingLoss	Dice		ValidationLoss	Dice		TestLoss	Dice
0	1.0000e-01		11.1901		0.17242		25785.8008		0.00000		24576.3340		0.00000
5	1.0000e-01		1.0018		0.20812		0.9658		0.16899		1.1417		0.09031
10	1.0000e-01		0.6618		0.17880		0.6433		0.26464		31.0400		0.21140
15	1.0000e-01		0.6240		0.21560		0.5613		0.34712		4.8294		0.30363
20	1.0000e-01		0.5748		0.25083		0.4606		0.39596		0.9130		0.28527
25	1.0000e-01		0.4054		0.39955		0.3494		0.46071		0.9132		0.33102
30	1.0000e-01		0.3761		0.44518		0.5031		0.53738		1.9686		0.44783
35	1.0000e-01		0.3701		0.45903		0.3354		0.48474		0.8376		0.38667
40	1.0000e-01		0.4034		0.47180		0.3214		0.59194		0.3731		0.48433
45	1.0000e-01		0.4401		0.38437		0.4076		0.43035		1.4422		0.32527
50	1.0000e-01		0.3306		0.52084		0.6535		0.55075		1.5154		0.46538
55	1.0000e-01		0.3477		0.50535		0.9818		0.31398		1.1912		0.25470
60	1.0000e-01		0.2983		0.43366		0.5776		0.54528		0.5202		0.57944
65	1.0000e-01		0.2923		0.49714		0.7957		0.61056		0.6371		0.59492
70	1.0000e-01		0.3248		0.51210		0.5467		0.35588		0.9541		0.27327
75	1.0000e-01		0.3535		0.46408		0.6409		0.64604		0.6868		0.59329
80	1.0000e-01		0.3088		0.47621		0.5523		0.65420		0.6586		0.60614
85	1.0000e-01		0.2562		0.52457		0.5278		0.66918		0.4052		0.64192
90	1.0000e-01		0.3182		0.48636		0.3025		0.50853		0.4351		0.37940
95	1.0000e-01		0.2510		0.52776		0.4034		0.43603		0.7755		0.33622
100	1.0000e-01		0.2908		0.52641		0.2433		0.58974		0.3848		0.46776
105	1.0000e-01		0.2938		0.53636		0.2184		0.67238		0.3605		0.53569
110	1.0000e-01		0.2754		0.51367		0.3706		0.49669		0.3869		0.37016
115	1.0000e-01		0.2761		0.48788		1.7608		0.06192		1.5136		0.07574
120	1.0000e-01		0.2797		0.51372		0.2999		0.49609		0.4696		0.35184
125	1.0000e-01		0.3207		0.52715		0.3050		0.49042		0.3890		0.34898
130	1.0000e-01		0.3599		0.50724		0.2987		0.53742		1.2258		0.41983
135	1.0000e-01		0.2851		0.52155		0.4176		0.38930		0.7603		0.31274
140	1.0000e-01		0.2912		0.53637		0.9242		0.26008		1.0789		0.21678
145	1.0000e-01		0.2885		0.50011		1.0844		0.43817		1.2494		0.50227
150	1.0000e-01		0.3119		0.47742		0.3625		0.50872		0.5948		0.39091
155	1.0000e-01		0.3108		0.51590		1.0366		0.29211		0.7808		0.43244
160	1.0000e-01		0.2689		0.56293		22.3773		0.00187		22.6569		0.00442
165	1.0000e-01		0.2532		0.54746		196.4213		0.00000		176.9336		0.00000
170	1.0000e-01		0.2591		0.53237		0.4208		0.43861		0.4574		0.35633
175	1.0000e-01		0.2458		0.51272		0.8219		0.53270		0.7909		0.54613
180	1.0000e-01		0.2495		0.55117		0.4241		0.64579		0.4096		0.53358
185	1.0000e-01		0.2381		0.53623		0.2794		0.62543		0.4913		0.50638
190	1.0000e-01		0.2629		0.54667		0.4205		0.41865		0.5559		0.31695
195	1.0000e-01		0.3186		0.45381		0.7790		0.41747		0.6180		0.46310
200	1.0000e-02		0.2512		0.58155		0.3301		0.54925		1.5912		0.47705
205	1.0000e-02		0.2535		0.52838		0.2367		0.58324		0.4178		0.44800
210	1.0000e-02		0.2436		0.55593		0.2505		0.63789		0.5070		0.51064
215	1.0000e-02		0.2193		0.56188		0.2441		0.64965		0.6959		0.51812
220	1.0000e-02		0.2223		0.56576		0.2642		0.68480		0.4892		0.56511
225	1.0000e-02		0.2400		0.53931		0.2858		0.65638		0.2655		0.55669
230	1.0000e-02		0.2332		0.57814		0.2462		0.56150		0.3698		0.43439
235	1.0000e-02		0.2595		0.57194		0.2443		0.66896		0.5064		0.54706
240	1.0000e-02		0.2192		0.54727		0.2548		0.65017		0.3085		0.53269
245	1.0000e-02		0.2218		0.56890		0.2939		0.68774		0.2605		0.58497
250	1.0000e-02		0.2344		0.58750		0.2524		0.62699		0.5623		0.50069
255	1.0000e-02		0.2300		0.55907		0.2501		0.62387		0.4504		0.49964
